node1,banana,boat,bottle,bowl,car,cat,cherry,chicken,chisel,corn,cow,cup,dog,duck,eagle,elephant,hammer,helicopter,kettle,knife,lettuce,lion,motorcycle,mushroom,onion,owl,peacock,pear,pen,pencil,penguin,pig,pineapple,potato,rocket,scissors,screwdriver,ship,snail,spoon,swan,telephone,truck,turtle
banana,1.0,0.0010737418240000002,0.0033554432000000006,0.0033554432000000006,0.00010995116277760002,0.0033554432000000006,0.00010995116277760002,0.01048576,0.0010737418240000002,0.0010737418240000002,0.00010995116277760002,0.0033554432000000006,0.00034359738368000005,0.0033554432000000006,0.0033554432000000006,3.518437208883201e-05,0.0010737418240000002,1.1258999068426243e-05,0.00034359738368000005,0.0010737418240000002,3.518437208883201e-05,0.00010995116277760002,3.518437208883201e-05,0.0033554432000000006,0.00010995116277760002,1.1258999068426243e-05,1.1258999068426243e-05,0.00010995116277760002,0.00010995116277760002,0.0010737418240000002,3.602879701896398e-06,0.0033554432000000006,0.00010995116277760002,0.00010995116277760002,0.0033554432000000006,3.518437208883201e-05,3.518437208883201e-05,0.0033554432000000006,0.0033554432000000006,0.0033554432000000006,0.0033554432000000006,0.00010995116277760002,0.0033554432000000006,0.0010737418240000002
boat,0.0010737418240000002,1.0,0.032768000000000005,0.032768000000000005,0.0010737418240000002,0.032768000000000005,0.0010737418240000002,0.1024,0.01048576,0.01048576,0.0010737418240000002,0.032768000000000005,0.0033554432000000006,0.032768000000000005,0.032768000000000005,0.00034359738368000005,0.01048576,0.00010995116277760002,0.0033554432000000006,0.01048576,0.00034359738368000005,0.0010737418240000002,0.00034359738368000005,0.032768000000000005,0.0010737418240000002,0.00010995116277760002,0.00010995116277760002,0.0010737418240000002,0.0010737418240000002,0.01048576,3.518437208883201e-05,0.032768000000000005,0.0010737418240000002,0.0010737418240000002,0.032768000000000005,0.00034359738368000005,0.00034359738368000005,0.032768000000000005,0.032768000000000005,0.032768000000000005,0.032768000000000005,0.0010737418240000002,0.032768000000000005,0.01048576
bottle,0.0033554432000000006,0.032768000000000005,1.0,0.032768000000000005,0.0010737418240000002,0.032768000000000005,0.0033554432000000006,0.1024,0.01048576,0.01048576,0.0033554432000000006,0.1024,0.0033554432000000006,0.1024,0.032768000000000005,0.0010737418240000002,0.032768000000000005,0.00034359738368000005,0.01048576,0.01048576,0.0010737418240000002,0.0033554432000000006,0.00034359738368000005,0.032768000000000005,0.0033554432000000006,0.00034359738368000005,0.00010995116277760002,0.0033554432000000006,0.0010737418240000002,0.01048576,0.00010995116277760002,0.1024,0.0033554432000000006,0.0033554432000000006,0.032768000000000005,0.00034359738368000005,0.0010737418240000002,0.1024,0.1024,0.1024,0.032768000000000005,0.0010737418240000002,0.032768000000000005,0.032768000000000005
bowl,0.0033554432000000006,0.032768000000000005,0.032768000000000005,1.0,0.0010737418240000002,0.032768000000000005,0.0033554432000000006,0.1024,0.01048576,0.01048576,0.0033554432000000006,0.1024,0.0033554432000000006,0.1024,0.032768000000000005,0.0010737418240000002,0.032768000000000005,0.00034359738368000005,0.01048576,0.01048576,0.0010737418240000002,0.0033554432000000006,0.00034359738368000005,0.032768000000000005,0.0033554432000000006,0.00034359738368000005,0.00010995116277760002,0.0033554432000000006,0.0010737418240000002,0.01048576,0.00010995116277760002,0.1024,0.0033554432000000006,0.0033554432000000006,0.032768000000000005,0.00034359738368000005,0.0010737418240000002,0.1024,0.1024,0.1024,0.032768000000000005,0.0010737418240000002,0.032768000000000005,0.032768000000000005
car,0.00010995116277760002,0.0010737418240000002,0.0010737418240000002,0.0010737418240000002,1.0,0.0010737418240000002,0.00010995116277760002,0.0033554432000000006,0.00034359738368000005,0.00034359738368000005,0.00010995116277760002,0.0033554432000000006,0.00010995116277760002,0.0033554432000000006,0.0010737418240000002,3.518437208883201e-05,0.0010737418240000002,1.1258999068426243e-05,0.00034359738368000005,0.00034359738368000005,3.518437208883201e-05,0.00010995116277760002,1.1258999068426243e-05,0.0010737418240000002,0.00010995116277760002,1.1258999068426243e-05,3.602879701896398e-06,0.00010995116277760002,3.518437208883201e-05,0.00034359738368000005,3.602879701896398e-06,0.0033554432000000006,0.00010995116277760002,0.00010995116277760002,0.0010737418240000002,1.1258999068426243e-05,3.518437208883201e-05,0.0033554432000000006,0.0033554432000000006,0.0033554432000000006,0.0010737418240000002,3.518437208883201e-05,0.0010737418240000002,0.0010737418240000002
cat,0.0033554432000000006,0.032768000000000005,0.032768000000000005,0.032768000000000005,0.0010737418240000002,1.0,0.0033554432000000006,0.1024,0.01048576,0.01048576,0.0033554432000000006,0.1024,0.0033554432000000006,0.1024,0.032768000000000005,0.0010737418240000002,0.032768000000000005,0.00034359738368000005,0.01048576,0.01048576,0.0010737418240000002,0.0033554432000000006,0.00034359738368000005,0.032768000000000005,0.0033554432000000006,0.00034359738368000005,0.00010995116277760002,0.0033554432000000006,0.0010737418240000002,0.01048576,0.00010995116277760002,0.1024,0.0033554432000000006,0.0033554432000000006,0.032768000000000005,0.00034359738368000005,0.0010737418240000002,0.1024,0.1024,0.1024,0.032768000000000005,0.0010737418240000002,0.032768000000000005,0.032768000000000005
cherry,0.00010995116277760002,0.0010737418240000002,0.0033554432000000006,0.0033554432000000006,0.00010995116277760002,0.0033554432000000006,1.0,0.01048576,0.0010737418240000002,0.0010737418240000002,0.00010995116277760002,0.0033554432000000006,0.00034359738368000005,0.0033554432000000006,0.0033554432000000006,3.518437208883201e-05,0.0010737418240000002,1.1258999068426243e-05,0.00034359738368000005,0.0010737418240000002,3.518437208883201e-05,0.00010995116277760002,3.518437208883201e-05,0.0033554432000000006,0.00010995116277760002,1.1258999068426243e-05,1.1258999068426243e-05,0.00010995116277760002,0.00010995116277760002,0.0010737418240000002,3.602879701896398e-06,0.0033554432000000006,0.00010995116277760002,0.00010995116277760002,0.0033554432000000006,3.518437208883201e-05,3.518437208883201e-05,0.0033554432000000006,0.0033554432000000006,0.0033554432000000006,0.0033554432000000006,0.00010995116277760002,0.0033554432000000006,0.0010737418240000002
chicken,0.01048576,0.1024,0.1024,0.1024,0.0033554432000000006,0.1024,0.01048576,1.0,0.032768000000000005,0.032768000000000005,0.01048576,0.32,0.01048576,0.32,0.1024,0.0033554432000000006,0.1024,0.0010737418240000002,0.032768000000000005,0.032768000000000005,0.0033554432000000006,0.01048576,0.0010737418240000002,0.1024,0.01048576,0.0010737418240000002,0.00034359738368000005,0.01048576,0.0033554432000000006,0.032768000000000005,0.00034359738368000005,0.32,0.01048576,0.01048576,0.1024,0.0010737418240000002,0.0033554432000000006,0.32,0.32,0.32,0.1024,0.0033554432000000006,0.1024,0.1024
chisel,0.0010737418240000002,0.01048576,0.01048576,0.01048576,0.00034359738368000005,0.01048576,0.0010737418240000002,0.032768000000000005,1.0,0.0033554432000000006,0.0010737418240000002,0.032768000000000005,0.0010737418240000002,0.032768000000000005,0.01048576,0.00034359738368000005,0.01048576,0.00010995116277760002,0.0033554432000000006,0.0033554432000000006,0.00034359738368000005,0.0010737418240000002,0.00010995116277760002,0.01048576,0.0010737418240000002,0.00010995116277760002,3.518437208883201e-05,0.0010737418240000002,0.00034359738368000005,0.0033554432000000006,3.518437208883201e-05,0.032768000000000005,0.0010737418240000002,0.0010737418240000002,0.01048576,0.00010995116277760002,0.00034359738368000005,0.032768000000000005,0.032768000000000005,0.032768000000000005,0.01048576,0.00034359738368000005,0.01048576,0.01048576
corn,0.0010737418240000002,0.01048576,0.01048576,0.01048576,0.00034359738368000005,0.01048576,0.0010737418240000002,0.032768000000000005,0.0033554432000000006,1.0,0.0010737418240000002,0.032768000000000005,0.0010737418240000002,0.032768000000000005,0.01048576,0.00034359738368000005,0.01048576,0.00010995116277760002,0.0033554432000000006,0.0033554432000000006,0.00034359738368000005,0.0010737418240000002,0.00010995116277760002,0.01048576,0.0010737418240000002,0.00010995116277760002,3.518437208883201e-05,0.0010737418240000002,0.00034359738368000005,0.0033554432000000006,3.518437208883201e-05,0.032768000000000005,0.0010737418240000002,0.0010737418240000002,0.01048576,0.00010995116277760002,0.00034359738368000005,0.032768000000000005,0.032768000000000005,0.032768000000000005,0.01048576,0.00034359738368000005,0.01048576,0.01048576
